,Code,Product label,,,,,,,,,,,,HS6Desc,BEC5Code1
72,284190,"Salts of oxometallic or peroxometallic acids (excluding chromates, dichromates, peroxochromates, ...""",,,,,,,,,,,,Salts of oxometallic or peroxometallic acids; n.e.c. in heading no. 2841,211220
73,710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",,,,,,,,,,,,"Metals; gold, semi-manufactured",411210
74,760120,Unwrought aluminium alloys,,,,,,,,,,,,"Aluminium; unwrought, alloys",311210
75,721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",,,,,,,,,,,,"Iron or non-alloy steel; flat-rolled, width 600mm or more, (not corrugated), plated or coated with zinc (not electrolytically)",511210
76,903082,Instruments and apparatus for measuring or checking semiconductor wafers or devices,,,,,,,,,,,,Instruments and apparatus; for measuring or checking semiconductor wafers or devices,212020
77,730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",,,,,,,,,,,,"Iron or steel; structures and parts thereof, n.e.c. in heading 7308",311220
78,853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",,,,,,,,,,,,"Electrical apparatus; parts suitable for use solely or principally with the apparatus of heading no. 8535, 8536 or 8537",311220
79,853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",,,,,,,,,,,,"Electrical capacitors; fixed, ceramic dielectric, multilayer",312
80,853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),,,,,,,,,,,,"Electrical apparatus; plugs and sockets, for a voltage not exceeding 1000 volts",3112
81,760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",,,,,,,,,,,,"Aluminium; plates, sheets and strip, thickness exceeding 0.2mm, alloys, rectangular (including square)",311210
82,847170,Storage units for automatic data-processing machines,,,,,,,,,,,,Units of automatic data processing machines; storage units,612020
83,903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",,,,,,,,,,,,"Regulating or controlling instruments and apparatus; automatic, other than hydraulic or pneumatic",212020
84,852580,"Television cameras, digital cameras and video camera recorders",,,,,,,,,,,,"Television cameras, digital cameras and video camera recorders",613202
85,720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",,,,,,,,,,,,"Iron or non-alloy steel; (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, without patterns in relief, of a thickness exceeding 10mm",511210
86,870360,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",,,,,,,,,,,,"Vehicles; with both spark-ignition internal combustion reciprocating piston engine and electric motor for propulsion, capable of being charged by plugging to external source of electric power",513202
87,260112,Agglomerated iron ores and concentrates (excluding roasted iron pyrites),,,,,,,,,,,,Iron ores and concentrates; agglomerated (excluding roasted iron pyrites),2111
88,950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",,,,,,,,,,,,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (scale) models and similar recreational models, working or not; puzzles of all kinds",713202
89,270111,"Anthracite, whether or not pulverised, non-agglomerated",,,,,,,,,,,,"Coal; anthracite, whether or not pulverised, but not agglomerated",2111
90,382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",,,,,,,,,,,,"Reagents; diagnostic or laboratory reagents on a backing and prepared diagnostic or laboratory reagents whether or not on a backing, other than those of heading no. 3002 or 3006; certified reference material",711220
91,900120,Sheets and plates of polarising material,,,,,,,,,,,,"Optical elements; polarising material, sheets and plates thereof",711220
92,711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",,,,,,,,,,,,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",413202
93,847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",,,,,,,,,,,,"Units of automatic data processing machines; n.e.c. in item no. 8471.50, 8471.60 or 8471.70",612020
94,870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",,,,,,,,,,,,Vehicle parts and accessories; n.e.c. in heading no. 8708,511220
95,854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",,,,,,,,,,,,"Insulated electric conductors; for a voltage not exceeding 1000 volts, fitted with connectors",311220
96,640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",,,,,,,,,,,,"Footwear; n.e.c. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",413202
97,230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",,,,,,,,,,,,"Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",111210
98,20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",,,,,,,,,,,,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",113101
