HS,BEC17
360610,813101
360690,811210
370110,711220
370120,611220
370130,611220
370191,611220
370199,611220
370210,711220
370231,611220
370232,611220
370239,611220
370241,611220
370242,611220
370243,611220
370244,611220
370252,613101
370253,613101
370254,613101
370255,611220
370256,611220
370296,613101
370297,611220
370298,611220
370310,611220
370320,611220
370390,611220
370400,611220
370500,611220
370610,611220
370690,611220
370710,611220
370790,611220
380110,311210
380120,311210
380130,311210
380190,311210
380210,311210
380290,311210
380300,311210
380400,311210
380510,311210
380590,311210
380610,311210
380620,311210
380630,311210
380690,311210
380700,311210
380852,313101
380859,313101
380861,313101
380862,313101
380869,313101
380891,313101
380892,313101
380893,313101
380894,313101
380899,313101
380910,411210
380991,411210
380992,411210
380993,411210
381010,311210
381090,311210
381111,211210
381119,211210
381121,211210
381129,211210
381190,211210
381210,211210
381220,211210
381231,211210
381239,211210
381300,211220
381400,211220
381511,211220
381512,211220
381519,211220
381590,211220
381600,311210
381700,211210
381800,611220
381900,511220
382000,511220
382100,711220
382200,711220
382311,211210
382312,211210
382313,211210
382319,211210
382370,211210
382410,211210
382430,211210
382440,311220
382450,311220
382460,211210
382471,211210
382472,211210
382473,211210
382474,211210
382475,211210
382476,211210
382477,211210
382478,211210
382479,211210
382481,211210
382482,211210
382483,211210
382484,211220
382485,211220
382486,211220
382487,211220
382488,211220
382491,211220
382499,211220
382510,3111
382520,3111
382530,711220
382541,2111
382549,2111
382550,511210
382561,211210
382569,211210
382590,211210
382600,211210
390110,211210
390120,211210
390130,211210
390140,211210
390190,211210
390210,211210
390220,211210
390230,211210
390290,211210
390311,211210
390319,211210
390320,211210
390330,211210
390390,211210
390410,211210
390421,211210
390422,211210
390430,211210
390440,211210
390450,211210
390461,211210
390469,211210
390490,211210
390512,211210
390519,211210
390521,211210
390529,211210
390530,211210
390591,211210
390599,211210
390610,211210
390690,211210
390710,211210
390720,211210
390730,211210
390740,211210
390750,211210
390761,211210
390769,211210
390770,211210
390791,211210
390799,211210
390810,211210
390890,211210
390910,211210
390920,211210
390931,211210
390939,211210
390940,211210
390950,211210
391000,211210
391110,211210
391190,211210
391211,211210
391212,211210
391220,211210
391231,211210
391239,211210
391290,211210
391310,211210
391390,211210
391400,211210
391510,211210
391520,211210
391530,211210
391590,211210
391610,211210
391620,211210
391690,211210
391710,311210
391721,311210
391722,311210
391723,311210
391729,311210
391731,311210
391732,311210
391733,311210
391739,311210
391740,311210
391810,311210
391890,311210
391910,311210
391990,311210
392010,311220
392020,311220
392030,311220
392043,311220
392049,311220
392051,311220
392059,311220
392061,311220
392062,311220
392063,311220
392069,311220
392071,311220
392073,311220
392079,311220
392091,311220
392092,311220
392093,311220
392094,311220
392099,311220
392111,311220
392112,311220
392113,311220
392114,311220
392119,311220
392190,311210
392210,311210
392220,311210
392290,311210
392310,511220
392321,511220
392329,511220
392330,511220
392340,511220
392350,511220
392390,511220
392410,313202
392490,313202
392510,311210
392520,311210
392530,311210
392590,311210
392610,713202
392620,413201
392630,313202
392640,311210
392690,311220
400110,1111
400121,1111
400122,1111
400129,1111
400130,1111
400211,211210
400219,211210
400220,211210
400231,211210
400239,211210
400241,211210
400249,211210
400251,211210
400259,211210
400260,211210
400270,211210
400280,211210
400291,211210
400299,211210
400300,211210
400400,211210
400510,211210
400520,211210
400591,211210
400599,211210
400610,211210
400690,211210
400700,211210
400811,211210
400819,211210
400821,211210
400829,211210
400911,311210
400912,311210
400921,311210
400922,311210
400931,311210
400932,311210
400941,311210
400942,311210
401011,811210
401012,811210
401019,811210
401031,811210
401032,811210
401033,811210
401034,811210
401035,811210
401036,811210
401039,811210
401110,511210
401120,511210
401130,511210
401140,511210
401150,511210
401170,511210
401180,511210
401190,511210
401211,511210
401212,511210
401213,511210
401219,511210
401220,511210
401290,511210
401310,511210
401320,511210
401390,511210
401410,713101
401490,711220
401511,711220
401519,413201
401590,413201
401610,313202
401691,313202
401692,313201
401693,311210
401694,511220
401695,313202
401699,211210
401700,211210
410120,1111
410150,1111
410190,1111
410210,1111
410221,1111
410229,1111
410320,1111
410330,1111
410390,1111
410411,111210
410419,111210
410441,111210
410449,111210
410510,111210
410530,111210
410621,111210
410622,111210
410631,111210
410632,111210
410640,111210
410691,111210
410692,111210
410711,111210
410712,111210
410719,111210
410791,111210
410792,111210
410799,111210
411200,111210
411310,111210
411320,111210
411330,111210
411390,111210
411410,111210
411420,111210
411510,111210
411520,1111
420100,113202
420211,513202
420212,513202
420219,513202
420221,513202
420222,513202
420229,513202
420231,513202
420232,513202
420239,513202
420291,513202
420292,513202
420299,513202
420310,513202
420321,513202
420329,513202
420330,513202
420340,513202
420500,513202
420600,513202
430110,1111
430130,1111
430160,1111
430180,1111
430190,1111
430211,111210
430219,111210
430220,111210
430230,111210
430310,413202
430390,413202
430400,413202
440111,2111
440112,2111
440121,1111
440122,1111
440131,1111
440139,1111
440140,1111
440210,211220
440290,211220
440311,1111
440312,1111
440321,1111
440322,1111
440323,1111
440324,1111
440325,1111
440326,1111
440341,1111
440349,1111
440391,1111
440393,1111
440394,1111
440395,1111
440396,1111
440397,1111
440398,1111
440399,1111
440410,1111
440420,1111
440500,111210
440611,111210
440612,111210
440691,111210
440692,111210
440711,311210
440712,311210
440719,311210
440721,311210
440722,311210
440725,311210
440726,311210
440727,311210
440728,311210
440729,311210
440791,311210
440792,311210
440793,311210
440794,311210
440795,311210
440796,311210
440797,311210
440799,311210
440810,311210
440831,311210
440839,311210
440890,311210
440910,311210
440921,311210
440922,311210
440929,311210
441011,311210
441012,311210
441019,311210
441090,311210
441112,311210
441113,311210
441114,311210
441192,311210
441193,311210
441194,311210
441210,311210
441231,311210
441233,311210
441234,311210
441239,311210
441294,311210
441299,311210
441300,311210
441400,313202
441510,511220
441520,511220
441600,511220
441700,311210
441810,311210
441820,311210
441840,311210
441850,311210
441860,311210
441873,311210
441874,311210
441875,311210
441879,311210
